1050400,40.348504,-73.975584,5.5,330000,12/3/1999,1,FALSE,White,Male,57,Mortgage,75000,0.06665586,Built,1982,3,F,10,2.5,121800,1183,1,FALSE,1.04
1050500,40.348504,-73.975517,4.5,330000,5/12/1982,1,FALSE,White,Male,60,Free,75000,0.06665586,Built,1982,3,F,10,2.5,136400,1183,1,FALSE,1.04
1050600,40.348504,-73.975449,4.5,330000,5/17/1996,139500,TRUE,White,Male,48,Free,100000,0.06665586,Built,1982,3,F,10,2.5,130000,1183,1,FALSE,1.04
1050700,40.348516,-73.975386,4.5,330000,4/21/1982,462500,FALSE,White,Male,59,Mortgage,75000,0.06665586,Built,1982,3,F,10,2.5,135100,1189,1,FALSE,1.04
1050800,40.348516,-73.975323,4.5,330000,2/16/2004,240000,FALSE,White,Male,46,Mortgage,45000,0.06665586,Built,1982,3,F,10,2.5,125800,1189,1,FALSE,1.04
1050900,40.348516,-73.975254,4.5,330000,12/23/2009,430000,TRUE,White,Female,93,Mortgage,200000,0.06665586,Built,1982,3,F,10,2.5,138200,1183,1,FALSE,1.04
1051000,40.348588,-73.975252,4.5,330000,11/1/1982,412500,TRUE,White,Male,52,Free,75000,0.06665586,Built,1982,3,F,10,2.5,133300,1189,1,FALSE,1.04
1051100,40.348633,-73.975253,4.5,330000,6/2/2010,0,FALSE,White,Male,50,Free,55000,0.06665586,Built,1982,3,F,10,2.5,117700,980,1,FALSE,1.04
1061200,40.34862,-73.974971,5.5,330000,1/1/1989,0,FALSE,White,Male,57,Mortgage,60000,0.06665586,Built,1982,3,F,10,2.5,132700,1183,1,FALSE,1.04
1061300,40.348568,-73.974973,5.5,330000,10/23/1982,325000,FALSE,White,Male,90,Free,200000,0.06665586,Built,1982,3,F,10,2.5,140400,1183,1,FALSE,1.04
1061400,40.348515,-73.974985,4.5,330000,1/21/2000,200000,TRUE,White,Male,58,Mortgage,150000,0.06665586,Built,1982,3,F,10,2.5,128400,1183,1,FALSE,1.04
1061500,40.348462,-73.974988,5.5,330000,4/30/2002,65000,TRUE,White,Male,55,Mortgage,55000,0.06665586,Built,1982,3,F,10,2.5,136700,1183,1,FALSE,1.04
1061600,40.348411,-73.975003,5.5,330000,3/3/2002,0,TRUE,Asian,Male,50,Free,200000,0.06665586,Built,1982,3,F,10,2.5,126600,1183,1,FALSE,1.04
1061700,40.348364,-73.975005,5.5,330000,5/20/2008,490000,FALSE,White,Male,67,Mortgage,125000,0.06665586,Built,1982,3,F,10,2.5,140800,1183,1,FALSE,1.04
1071800,40.348191,-73.974579,4.5,330000,7/28/1983,527000,FALSE,White,Male,51,Mortgage,60000,0.06665586,Built,1983,3,F,10,2.5,165300,1189,1,FALSE,1.04
1071900,40.348191,-73.974516,4.5,330000,4/26/2005,0,FALSE,White,Female,49,Mortgage,55000,0.06665586,Built,1982,3,F,10,2.5,126000,1189,1,FALSE,1.04
1072000,40.348192,-73.974459,5.5,330000,11/28/1982,455000,FALSE,White,Male,56,Mortgage,60000,0.06665586,Built,1982,3,F,10,2.5,139700,1189,1,FALSE,1.04
1072100,40.348191,-73.974392,5.5,330000,6/2/2006,420000,FALSE,White,Male,32,Mortgage,20000,0.06665586,Built,1982,3,F,10,2.5,134200,1189,1,FALSE,1.04
1072200,40.348191,-73.974322,4.5,330000,4/17/1998,487500,FALSE,White,Male,37,Mortgage,25000,0.06665586,Built,1982,3,F,10,2.5,147200,1268,1,FALSE,1.04
1072300,40.34819,-73.974259,4.5,330000,9/22/2006,0,FALSE,Asian,Female,54,Free,75000,0.06665586,Built,1982,3,F,10,2.5,128000,1183,1,FALSE,1.04
1072400,40.34819,-73.974203,4.5,330000,10/15/1982,450000,TRUE,White,Male,38,Mortgage,30000,0.06665586,Built,1982,3,F,10,2.5,137500,1183,1,FALSE,1.04
1072500,40.34819,-73.974143,4.5,330000,6/8/2012,450000,TRUE,White,Female,47,Free,60000,0.06665586,Built,1982,3,F,10,2.5,147400,1189,1,FALSE,1.04
1072600,40.348191,-73.974067,4.5,330000,8/31/1999,165500,TRUE,White,Male,0,Free,150000,0.06665586,Built,1982,3,F,10,2.5,124900,1189,1,FALSE,1.04
1082700,40.348024,-73.974112,4.5,309000,5/29/2004,0,TRUE,White,Male,54,Free,200000,0.06665586,Built,1982,3,F,10,2.5,133200,1189,1,FALSE,1.04
1082800,40.347971,-73.974129,5.5,309000,10/12/2011,1,FALSE,Asian,Male,99,Mortgage,200000,0.06665586,Built,1982,3,F,10,2.5,138000,1183,1,FALSE,1.04
1082900,40.347912,-73.974127,5.5,309000,5/11/2009,520000,FALSE,White,Male,41,Mortgage,35000,0.06665586,Built,1982,3,F,10,2.5,140900,1183,1,FALSE,1.04
1083000,40.347859,-73.974144,5.5,309000,3/7/2011,0,FALSE,White,Male,39,Mortgage,30000,0.06665586,Built,1982,3,F,10,2.5,151900,1183,1,FALSE,1.04
1093100,40.34795,-73.974391,4.5,329000,9/5/1982,535000,FALSE,White,Female,47,Free,50000,0.06665586,Built,1982,3,F,10,2.5,138000,1183,1,FALSE,1.04
